lib	type	trip	id	location	antibiotics	proj	projlib	readlength	country	site	environment	latitude	longitude
H4_HW15MH_A16_KWWS_ABY_1272_J	H4	HW15MH	A16	Kewalowatersystem	ABY	1272	J	100	USA	Hawaii	aquarium	21.19133	-157.86106
H4_HW15MH_MG4_KWRR_ABN_1992_D	H4	HW15MH	MG4	KewaloRR	ABN	1992	D	100	USA	Hawaii	aquarium	21.19133	-157.86106
H4_HW15MH_MG5_KWRR_ABN_1992_E	H4	HW15MH	MG5	KewaloRR	ABN	1992	E	100	USA	Hawaii	aquarium	21.19133	-157.86106
H4_HW15MH_MG6_KWRR_ABN_1992_F	H4	HW15MH	MG6	KewaloRR	ABN	1992	F	100	USA	Hawaii	aquarium	21.19133	-157.86106
H6_HW15MH_A03_KWWS_ABY_1272_K	H6	HW15MH	A03	Kewalowatersystem	ABY	1272	K	100	USA	Hawaii	aquarium	21.19133	-157.86106
H6_HW15MH_A11_KWWS_ABY_1272_H	H6	HW15MH	A11	Kewalowatersystem	ABY	1272	H	100	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_001_KWCT-cl6_ABN_1992_A	H2	HW15	1	Kewalocoraltank-cl6	ABN	1992	A	100	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_002_KWCT-cl6_ABN_1992_B	H2	HW15	2	Kewalocoraltank-cl6	ABN	1992	B	100	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_003_KWCT-cl6_ABN_1992_C	H2	HW15	3	Kewalocoraltank-cl6	ABN	1992	C	100	USA	Hawaii	aquarium	21.19133	-157.86106
H4_HW15MH_004_KWWS_ABN_1272_A	H4	HW15MH	4	Kewalowatersystem	ABN	1272	A	100	USA	Hawaii	aquarium	21.19133	-157.86106
H6_HW15MH_007_KWWS_ABN_1272_B	H6	HW15MH	7	Kewalowatersystem	ABN	1272	B	100	USA	Hawaii	aquarium	21.19133	-157.86106
H4_BZ15_009_TCMC-B14_ABN_1717_B	H4	BZ15	9	TwinCaysMainChannel-B14	ABN	1717	B	150	Belize	TwinCays	free-living	16.81796	-88.10004
H7_BZ15_011_CBOH-B067_ABN_1717_M	H7	BZ15	11	CarrieBowOuthouse-B067	ABN	1717	M	150	Belize	CarrieBowCay	free-living	16.80262	-88.08192
H7_BZ15_012_CBOH-B067_ABN_1717_N	H7	BZ15	12	CarrieBowOuthouse-B067	ABN	1717	N	150	Belize	CarrieBowCay	free-living	16.80262	-88.08192
H8_BZ15_013_CBOH-B061_ABN_1717_H	H8	BZ15	13	CarrieBowOuthouse-B061	ABN	1717	H	150	Belize	CarrieBowCay	free-living	16.80262	-88.08192
H4_HW15MH_014_KWWS_ABN_1272_D	H4	HW15MH	14	Kewalowatersystem	ABN	1272	D	100	USA	Hawaii	aquarium	21.19133	-157.86106
H8_BZ15_014_CBOH-B061_ABN_1717_I	H8	BZ15	14	CarrieBowOuthouse-B061	ABN	1717	I	150	Belize	CarrieBowCay	free-living	16.80262	-88.08192
H4_BZ15_015_TCMC-B04_ABN_1717_C	H4	BZ15	15	TwinCaysMainChannel-B04	ABN	1717	C	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_HW15MH_015_KWWS_ABN_1272_C	H4	HW15MH	15	Kewalowatersystem	ABN	1272	C	100	USA	Hawaii	aquarium	21.19133	-157.86106
H6_HW15MH_016_KWWS_ABN_1272_E	H6	HW15MH	16	Kewalowatersystem	ABN	1272	E	100	USA	Hawaii	aquarium	21.19133	-157.86106
H6_HW15MH_020_KWWS_ABN_1272_F	H6	HW15MH	20	Kewalowatersystem	ABN	1272	F	100	USA	Hawaii	aquarium	21.19133	-157.86106
H7_BZ15_020_TCMC-B096_ABN_1717_O	H7	BZ15	20	TwinCaysMainChannel-B096	ABN	1717	O	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_BZ15_024_TCMC-B025_ABN_1717_D	H4	BZ15	24	TwinCaysMainChannel-B025	ABN	1717	D	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_037_TCMC-B096_ABC2_1717_P	H7	BZ15	37	TwinCaysMainChannel-B096	ABC2	1717	P	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_040_TCMC-B096_ABC3_1717_Q	H7	BZ15	40	TwinCaysMainChannel-B096	ABC3	1717	Q	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_041_TCMC-B096_ABC2_1717_R	H7	BZ15	41	TwinCaysMainChannel-B096	ABC2	1717	R	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_045_TCMC-B096_ABT2_1717_S	H7	BZ15	45	TwinCaysMainChannel-B096	ABT2	1717	S	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_048_TCMC-B096_ABT2_1717_T	H7	BZ15	48	TwinCaysMainChannel-B096	ABT2	1717	T	150	Belize	TwinCays	free-living	16.81796	-88.08192
H7_BZ15_049_TCMC-B096_ABT2_1717_L	H7	BZ15	49	TwinCaysMainChannel-B096	ABT2	1717	L	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_BZ15_055_TCFI-B087_ABN_1717_E	H4	BZ15	55	TwinCaysFisheriesBay-B087	ABN	1717	E	150	Belize	TwinCays	free-living	16.81796	-88.08192
H2_MA16_073_PAPO_ABN_2181_A	H2	MA16	73	LasPalmasAquariumPosidoniatank	ABN	2181	A	250	Spain	Mallorca	aquarium	39.53151	2.72949
H2_MA16_074_PAPO_ABN_2181_B	H2	MA16	74	LasPalmasAquariumPosidoniatank	ABN	2181	B	250	Spain	Mallorca	aquarium	39.53151	2.72949
H2_MA16_075_PAPO_ABN_2181_C	H2	MA16	75	LasPalmasAquariumPosidoniatank	ABN	2181	C	250	Spain	Mallorca	aquarium	39.53151	2.72949
H11_MA16_076_PAAN_ABN_2181_D	H11	MA16	76	LasPalmasAquariumAnthiastank	ABN	2181	D	250	Spain	Mallorca	aquarium	39.53151	2.72949
H11_MA16_077_PAAN_ABN_2181_E	H11	MA16	77	LasPalmasAquariumAnthiastank	ABN	2181	E	250	Spain	Mallorca	aquarium	39.53151	2.72949
H11_MA16_078_PAAN_ABN_2181_F	H11	MA16	78	LasPalmasAquariumAnthiastank	ABN	2181	F	250	Spain	Mallorca	aquarium	39.53151	2.72949
H8_BZ15_101_TCFI-B028_ABN_1717_J	H8	BZ15	101	TwinCaysFisheriesBay-B028	ABN	1717	J	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_BZ15_102_TCFI-B028_ABN_1717_F	H4	BZ15	102	TwinCaysFisheriesBay-B028	ABN	1717	F	150	Belize	TwinCays	free-living	16.81796	-88.08192
H8_BZ15_103_TCFI-B028_ABN_1717_K	H8	BZ15	103	TwinCaysFisheriesBay-B028	ABN	1717	K	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_BZ15_106_TCFI-B010_ABN_1717_G	H4	BZ15	106	TwinCaysFisheriesBay-B010	ABN	1717	G	150	Belize	TwinCays	free-living	16.81796	-88.08192
H4_BZ17NL_351_TCFI-83_ABN_4127_I	H4	BZ17NL	351	TwinCaysFisheriesBay-83	ABN	4127	I	150	Belize	TwinCays	free-living	16.81796	-88.08192
4465_D	H6					4465	D		Panama	BocasdelToro	free-living	9.35001	-82.2617
4465_E	H6					4465	E		Panama	BocasdelToro	free-living	9.35001	-82.2617
4465_F	H4					4465	F		Panama	BocasdelToro	free-living	9.35001	-82.2617
4465_G	H6					4465	G		Panama	BocasdelToro	free-living	9.35001	-82.2617
4465_H	H6					4465	H		Panama	BocasdelToro	free-living	9.35001	-82.2617
SRR5311040	H15					SRA	SRR5311040		China	HongKong	free-living	22.35273	114.2517
SRR5934055	H2					SRA	SRR5934055		Panama	BocasdelToro	free-living	9.35001	-82.2617
SRR5934125	H2					SRA	SRR5934125		Panama	BocasdelToro	free-living	9.35001	-82.2617
