Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
212	109	109	109	93.0000	0.8791	0.8785
213	109	109	109	93.0000	0.8791	0.8785
214	109	109	109	93.0000	0.8791	0.8785
215	109	109	109	93.0000	0.8791	0.8785
216	109	109	109	93.0000	0.8791	0.8785
217	109	109	109	92.0000	0.8697	0.8691
218	109	109	109	93.0000	0.8791	0.8785
219	109	109	109	93.0000	0.8791	0.8785
220	109	109	109	93.0000	0.8791	0.8785
221	109	109	109	91.0000	0.8602	0.8596
222	109	109	109	92.0000	0.8697	0.8691
223	109	109	109	93.0000	0.8791	0.8785
224	109	109	109	93.0000	0.8791	0.8785
225	109	109	109	93.0000	0.8791	0.8785
226	109	109	109	92.0000	0.8697	0.8691
227	109	109	109	93.0000	0.8791	0.8785
228	109	109	109	93.0000	0.8791	0.8785
229	109	109	109	92.0000	0.8697	0.8691
230	109	109	109	93.0000	0.8791	0.8785
231	109	109	109	92.0000	0.8697	0.8691
232	109	109	109	93.0000	0.8791	0.8785
233	109	109	109	92.0000	0.8697	0.8691
234	109	109	109	93.0000	0.8791	0.8785
235	109	109	109	93.0000	0.8791	0.8785
236	109	109	109	93.0000	0.8791	0.8785
237	109	109	109	92.0000	0.8697	0.8691
238	109	109	109	93.0000	0.8791	0.8785
239	109	109	109	93.0000	0.8791	0.8785
240	109	109	109	93.0000	0.8791	0.8785
241	109	109	109	93.0000	0.8791	0.8785
242	109	109	109	93.0000	0.8791	0.8785
243	109	109	109	91.0000	0.8602	0.8596
244	109	109	109	93.0000	0.8791	0.8785
245	109	109	109	93.0000	0.8791	0.8785
246	109	109	109	93.0000	0.8791	0.8785
247	109	109	109	93.0000	0.8791	0.8785
248	109	109	109	93.0000	0.8791	0.8785
249	109	109	109	93.0000	0.8791	0.8785
250	109	109	109	93.0000	0.8791	0.8785
251	109	109	109	93.0000	0.8791	0.8785
252	109	109	109	93.0000	0.8791	0.8785
253	109	109	109	92.0000	0.8697	0.8691
254	109	109	109	93.0000	0.8791	0.8785
255	109	109	109	93.0000	0.8791	0.8785
256	109	109	109	93.0000	0.8791	0.8785
257	109	109	109	93.0000	0.8791	0.8785
258	109	109	109	93.0000	0.8791	0.8785
259	109	109	109	93.0000	0.8791	0.8785
260	109	109	109	92.0000	0.8697	0.8691
261	109	109	109	93.0000	0.8791	0.8785
262	109	109	109	93.0000	0.8791	0.8785
263	109	109	109	93.0000	0.8791	0.8785
264	109	109	109	93.0000	0.8791	0.8785
265	109	109	109	92.0000	0.8697	0.8691
266	109	109	109	93.0000	0.8791	0.8785
267	109	109	109	93.0000	0.8791	0.8785
268	109	109	109	93.0000	0.8791	0.8785
269	109	109	109	93.0000	0.8791	0.8785
270	109	109	109	93.0000	0.8791	0.8785
271	109	109	109	93.0000	0.8791	0.8785
272	109	109	109	92.0000	0.8697	0.8691
273	109	109	109	93.0000	0.8791	0.8785
274	109	109	109	93.0000	0.8791	0.8785
275	109	109	109	92.0000	0.8697	0.8691
276	109	109	109	93.0000	0.8791	0.8785
277	109	109	109	93.0000	0.8791	0.8785
